Country,Spearman_RF_DT_top20,Spearman_RF_XGB_top20,Spearman_DT_XGB_top20,Jaccard_RF_DT_top20,Jaccard_RF_XGB_top20,Jaccard_DT_XGB_top20,Mean_Spearman,Mean_Jaccard
Tajikistan,0.7353711790393013,0.7435643564356437,0.7732673267326732,0.6666666666666666,0.7391304347826086,0.7391304347826086,0.7507342874025394,0.714975845410628
Eritrea,0.7468926553672316,0.7222707423580786,0.7455445544554454,0.8181818181818182,0.6666666666666666,0.7391304347826086,0.7382359840602519,0.7413263065436979
Guinea,0.7455445544554454,0.6702970297029702,0.7009900990099008,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7056105610561055,0.7391304347826088
Ethiopia,0.65764192139738,0.6502183406113538,0.7449612403100775,0.6666666666666666,0.6666666666666666,0.6,0.6842738341062704,0.6444444444444444
Congo Democratic Republic,0.6100775193798449,0.8451977401129944,0.5809688581314879,0.6,0.8181818181818182,0.5384615384615384,0.678748039208109,0.6522144522144523
Angola,0.6186440677966102,0.796943231441048,0.6085271317829456,0.8181818181818182,0.6666666666666666,0.6,0.6747048103402012,0.694949494949495
Sierra Leone,0.61280276816609,0.697029702970297,0.6496124031007752,0.5384615384615384,0.7391304347826086,0.6,0.6531482914123874,0.6258639910813825
Congo,0.5270742358078603,0.9344632768361584,0.4937984496124031,0.6666666666666666,0.8181818181818182,0.6,0.6517786540854739,0.694949494949495
Pakistan,0.7316384180790961,0.727683615819209,0.4610169491525424,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6401129943502826,0.8181818181818182
Colombia,0.5991266375545852,0.7744360902255639,0.5331877729257641,0.6666666666666666,1.0,0.6666666666666666,0.6355835002353044,0.7777777777777777
Chad,0.5410852713178295,0.9242937853107344,0.4391003460207612,0.6,0.8181818181818182,0.5384615384615384,0.634826467549775,0.6522144522144523
Burundi,0.6445414847161574,0.6504950495049504,0.5947598253275109,0.6666666666666666,0.7391304347826086,0.6666666666666666,0.6299321198495397,0.6908212560386473
Jordan,0.4565891472868216,0.7915254237288136,0.5672489082969432,0.6,0.8181818181818182,0.6666666666666666,0.6051211597708595,0.694949494949495
Kenya,0.6037267080745341,0.6949152542372882,0.4747404844290657,0.4814814814814814,0.8181818181818182,0.5384615384615384,0.5911274822469627,0.612708279374946
Dominican Republic,0.8062146892655369,0.5580786026200873,0.3947598253275109,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.586351039071045,0.7171717171717171
Egypt,0.7694915254237288,0.4426356589147286,0.505240174672489,0.8181818181818182,0.6,0.6666666666666666,0.5724557863369821,0.694949494949495
Comoros,0.5821705426356589,0.8158192090395481,0.3091703056768559,0.6,0.8181818181818182,0.6666666666666666,0.5690533524506876,0.694949494949495
Morocco,0.5193798449612402,0.7711864406779663,0.3906976744186046,0.6,0.8181818181818182,0.6,0.5604213200192704,0.6727272727272727
Rwanda,0.5048034934497817,0.6386138613861386,0.4728682170542635,0.6666666666666666,0.7391304347826086,0.6,0.538761857296728,0.6685990338164252
Cambodia,0.4906976744186047,0.6282485875706215,0.472318339100346,0.6,0.8181818181818182,0.5384615384615384,0.530421533696524,0.6522144522144523
India,0.4465116279069768,0.8429378531073446,0.2881987577639752,0.6,0.8181818181818182,0.4814814814814814,0.5258827462594322,0.6332210998877665
Afghanistan,0.4224806201550388,0.8662337662337661,0.2647058823529412,0.6,0.9047619047619048,0.5384615384615384,0.5178067562472487,0.681074481074481
Maldives,0.3170542635658914,0.8112994350282487,0.4135371179039301,0.6,0.8181818181818182,0.6666666666666666,0.5139636054993567,0.694949494949495
Benin,0.5812227074235807,0.6253275109170305,0.3286821705426356,0.6666666666666666,0.6666666666666666,0.6,0.5117441296277491,0.6444444444444444
Timor-Leste,0.3643410852713178,0.8954802259887006,0.2705882352941177,0.6,0.8181818181818182,0.5384615384615384,0.5101365155180453,0.6522144522144523
Zambia,0.6611353711790393,0.4914728682170542,0.3742574257425742,0.6666666666666666,0.6,0.7391304347826086,0.5089552217128892,0.668599033816425
Burkina Faso,0.5108527131782945,0.6873362445414847,0.3168316831683168,0.6,0.6666666666666666,0.7391304347826086,0.5050068802960319,0.668599033816425
Niger,0.422707423580786,0.6782178217821782,0.3777292576419214,0.6666666666666666,0.7391304347826086,0.6666666666666666,0.49288483433496183,0.6908212560386473
Senegal,0.5912663755458516,0.4937716262975778,0.3633217993079585,0.6666666666666666,0.5384615384615384,0.5384615384615384,0.48278660038379595,0.5811965811965812
Ukraine,0.3386138613861386,0.7796610169491526,0.3069767441860465,0.7391304347826086,0.8181818181818182,0.6,0.47508387417377923,0.7191040843214757
Liberia,0.527681660899654,0.6178217821782177,0.2761245674740484,0.5384615384615384,0.7391304347826086,0.5384615384615384,0.4738760035173067,0.6053511705685618
