feature,importance
cat__Gender_M,0.3637773834078099
cat__Question_... for at least one specific reason,0.24782611127169696
cat__Demographics Response_Higher,0.2013310781969925
cat__Question_... if she refuses to have sex with him,0.059608552827682106
cat__Question_... if she burns the food,0.05802136375457487
cat__Demographics Response_No education,0.01741121726545081
cat__Demographics Question_Education,0.01026924356350431
cat__Demographics Response_Employed for kind,0.00793931314646292
cat__Demographics Response_Rural,0.007036814177205849
cat__Demographics Question_Residence,0.006233008970647186
cat__Demographics Response_Never married,0.005547102417965645
cat__Demographics Question_Marital status,0.005036956345028558
cat__Demographics Response_Urban,0.0027611389616198456
cat__Demographics Response_Unemployed,0.002347718016301439
cat__Demographics Question_Age,0.0022177856795425996
cat__Demographics Response_Secondary,0.0019022111597532144
cat__Demographics Question_Employment,0.0007330008377613162
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Question_... if she goes out without telling him,0.0
cat__Question_... if she argues with him,0.0
cat__Question_... if she neglects the children,0.0
cat__Gender_F,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
num__SurveyYear,0.0
