feature,importance
cat__Question_... for at least one specific reason,0.36603168228648114
cat__Demographics Response_Higher,0.21553457880607102
cat__Question_... if she burns the food,0.16287166638336967
cat__Gender_M,0.11862015800118594
cat__Question_... if she refuses to have sex with him,0.10131352888785747
cat__Demographics Response_Secondary,0.018330732248563672
cat__Gender_F,0.009563960959062576
cat__Demographics Response_Never married,0.004021499716489882
cat__Demographics Response_Employed for kind,0.0035405269993951365
cat__Question_... if she goes out without telling him,0.0001716657115235036
cat__Demographics Response_25-34,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Question_Age,0.0
cat__Question_... if she neglects the children,0.0
cat__Demographics Question_Education,0.0
cat__Question_... if she argues with him,0.0
cat__Demographics Question_Employment,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Response_Employed for cash,0.0
num__SurveyYear,0.0
