feature,importance
cat__Gender_F,0.3874796085774472
cat__Question_... for at least one specific reason,0.22816632549314897
cat__Question_... if she neglects the children,0.15628891446048146
cat__Demographics Response_Higher,0.07601602003694688
cat__Question_... if she burns the food,0.053340912673743746
cat__Question_... if she argues with him,0.02509712806097153
cat__Question_... if she goes out without telling him,0.017458248830067195
cat__Demographics Question_Education,0.014981674158507607
cat__Demographics Response_Urban,0.01137945630613659
cat__Demographics Question_Marital status,0.009797855387273785
cat__Demographics Response_Unemployed,0.006543869725473702
cat__Demographics Question_Age,0.004536017856871595
"cat__Demographics Response_Widowed, divorced, separated",0.0035682590034402336
cat__Demographics Question_Residence,0.0021646374943174876
cat__Demographics Response_No education,0.0012746317488306176
cat__Question_... if she refuses to have sex with him,0.0010069820084540764
cat__Demographics Question_Employment,0.0008994581778872959
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Gender_M,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
num__SurveyYear,0.0
