feature,importance
cat__Question_... for at least one specific reason,0.4323196009301963
cat__Question_... if she burns the food,0.23454518209409783
cat__Gender_F,0.13603770718412497
cat__Demographics Response_Higher,0.09662911542917356
cat__Question_... if she refuses to have sex with him,0.04974549161168779
cat__Gender_M,0.02479524825741798
cat__Question_... if she argues with him,0.021011522908851204
cat__Demographics Response_35-49,0.0023549660933559285
cat__Demographics Response_Married or living together,0.0008635682864283147
cat__Demographics Response_Unemployed,0.0006674430571718446
cat__Demographics Response_15-24,0.0005649321750079681
cat__Demographics Response_Primary,0.0004652219724864564
cat__Question_... if she neglects the children,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Demographics Response_Secondary,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
