feature,importance
cat__Question_... for at least one specific reason,0.4575361636581492
cat__Demographics Response_Higher,0.18954273166968963
cat__Question_... if she refuses to have sex with him,0.12885957814122226
cat__Question_... if she burns the food,0.11187772814389002
cat__Gender_M,0.04549818124132514
cat__Question_... if she goes out without telling him,0.02845127113203728
cat__Question_... if she neglects the children,0.006894515164425008
cat__Gender_F,0.004085777880921605
cat__Demographics Question_Employment,0.004061308555810571
"cat__Demographics Response_Widowed, divorced, separated",0.0034971012922444724
cat__Demographics Question_Marital status,0.0033226918438381864
cat__Demographics Question_Age,0.003166054459956067
cat__Demographics Response_Rural,0.0027589462160677687
cat__Demographics Response_No education,0.0026975817877090734
cat__Question_... if she argues with him,0.0019854466741003056
cat__Demographics Response_Married or living together,0.0018732037008122586
cat__Demographics Response_Unemployed,0.0017158015658900547
cat__Demographics Question_Education,0.0014654539701549388
cat__Demographics Question_Residence,0.0003647038464437767
cat__Demographics Response_15-24,0.00034575905531229485
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
num__SurveyYear,0.0
