feature,importance
cat__Question_... for at least one specific reason,0.35787484044003426
cat__Demographics Response_No education,0.2718488723871475
cat__Gender_F,0.13800473415738237
cat__Question_... if she neglects the children,0.08642540610146306
cat__Question_... if she goes out without telling him,0.03644418055105715
cat__Demographics Response_Primary,0.02977406069614904
cat__Demographics Response_Higher,0.027712668634270604
cat__Demographics Question_Education,0.009580287348367538
cat__Demographics Question_Age,0.008650365454519537
cat__Demographics Response_15-24,0.007033072893337069
cat__Demographics Response_Never married,0.005466574774370823
cat__Gender_M,0.004112206113111339
cat__Question_... if she refuses to have sex with him,0.003795832005416074
cat__Demographics Response_35-49,0.003727939589784072
cat__Demographics Question_Residence,0.003290087679810133
cat__Question_... if she argues with him,0.0028501110347792127
cat__Demographics Question_Marital status,0.0012195737232958113
cat__Demographics Question_Employment,0.0005726105188652084
cat__Demographics Response_Rural,0.0003751201411584049
cat__Demographics Response_Secondary,0.00032803486466557677
cat__Demographics Response_Married or living together,0.0002680625042037656
cat__Demographics Response_Unemployed,0.00021690468602377554
cat__Demographics Response_Urban,0.0002142268503938456
cat__Question_... if she burns the food,0.00021422685039381527
cat__Demographics Response_Employed for kind,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_25-34,0.0
num__SurveyYear,0.0
