feature,importance
cat__Gender_F,0.55579231067661
cat__Question_... for at least one specific reason,0.15715150912076684
cat__Demographics Response_Higher,0.126432468548764
cat__Demographics Response_Urban,0.049346991563586934
cat__Demographics Response_Secondary,0.029688498033807527
cat__Question_... if she refuses to have sex with him,0.018427443898117197
cat__Question_... if she neglects the children,0.014495948098418619
cat__Demographics Response_Employed for cash,0.012746511810914274
cat__Demographics Response_Never married,0.009736273577135449
"cat__Demographics Response_Widowed, divorced, separated",0.006349099038012129
cat__Demographics Question_Education,0.004017088591407759
cat__Demographics Response_No education,0.0037561574587382995
cat__Demographics Response_Unemployed,0.0026111845966616883
cat__Demographics Question_Marital status,0.0022656797569350425
cat__Demographics Question_Age,0.0022061455435534024
cat__Question_... if she goes out without telling him,0.0020032578921932265
cat__Demographics Question_Residence,0.0019996330491599663
cat__Demographics Question_Employment,0.0009737987452175772
cat__Question_... if she burns the food,0.0
cat__Question_... if she argues with him,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Gender_M,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Response_Employed for kind,0.0
num__SurveyYear,0.0
