feature,importance
cat__Question_... for at least one specific reason,0.4820710415604919
cat__Gender_F,0.16913666585883155
cat__Question_... if she refuses to have sex with him,0.16694745886797924
cat__Question_... if she burns the food,0.10482279491228391
cat__Gender_M,0.04583910950967024
cat__Question_... if she neglects the children,0.019561111317387195
cat__Question_... if she goes out without telling him,0.008030298192706854
cat__Demographics Question_Employment,0.0011095047297993992
cat__Demographics Question_Marital status,0.0008659949708219563
cat__Demographics Question_Education,0.000792996904466765
cat__Demographics Question_Age,0.0007844620397390294
cat__Demographics Question_Residence,3.856113582192321e-05
cat__Demographics Response_Secondary,0.0
cat__Question_... if she argues with him,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Higher,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
num__SurveyYear,0.0
