feature,importance
cat__Question_... for at least one specific reason,0.24708708400401144
cat__Gender_M,0.23447392882055348
cat__Question_... if she refuses to have sex with him,0.20753266841348655
cat__Question_... if she burns the food,0.18449869500811603
cat__Demographics Response_Higher,0.07413567362432828
cat__Question_... if she argues with him,0.04277072787379688
cat__Demographics Response_35-49,0.00491334259379413
cat__Demographics Response_Employed for kind,0.0017738625011433603
cat__Demographics Response_Primary,0.0014562000916844612
cat__Demographics Response_Secondary,0.0011476454461560428
cat__Demographics Response_Rural,0.0002101716229294073
cat__Demographics Response_Unemployed,0.0
cat__Gender_F,0.0
cat__Demographics Response_Urban,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Question_... if she neglects the children,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
