feature,importance
cat__Gender_M,0.573179650473263
cat__Demographics Response_Higher,0.22681866256656436
cat__Question_... for at least one specific reason,0.10880984511326879
cat__Question_... if she burns the food,0.04721910689621515
cat__Demographics Response_Urban,0.025567839810402733
cat__Question_... if she argues with him,0.007068495059341295
cat__Demographics Response_Never married,0.003377422796795636
cat__Demographics Question_Residence,0.0025699349296896927
cat__Demographics Response_35-49,0.0024099991239367497
cat__Demographics Response_Married or living together,0.0018392970422297845
"cat__Demographics Response_Widowed, divorced, separated",0.0007349180501845678
cat__Question_... if she refuses to have sex with him,0.0002936864813788422
cat__Question_... if she neglects the children,0.0001111416567293935
cat__Demographics Response_Rural,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Secondary,0.0
cat__Gender_F,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
