feature,importance
cat__Question_... for at least one specific reason,0.378308823060863
cat__Gender_M,0.22373490123861844
cat__Demographics Response_Higher,0.14538854302526416
cat__Question_... if she burns the food,0.10132937182047706
cat__Demographics Response_Employed for kind,0.09407378628553671
cat__Gender_F,0.03957274769696089
cat__Demographics Question_Residence,0.006966782071459558
"cat__Demographics Response_Widowed, divorced, separated",0.00486519879833445
cat__Demographics Response_Urban,0.004846468058466626
cat__Question_... if she neglects the children,0.0009133779440191319
cat__Demographics Response_Rural,0.0
cat__Question_... if she refuses to have sex with him,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Question_... if she argues with him,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
