feature,importance
cat__Question_... for at least one specific reason,0.46957432061211185
cat__Question_... if she neglects the children,0.20062850922527295
cat__Question_... if she burns the food,0.10064571687649215
cat__Question_... if she refuses to have sex with him,0.09136283881293308
cat__Gender_F,0.054798668374312014
cat__Demographics Response_Higher,0.045591609601627045
cat__Gender_M,0.023966726895897527
cat__Demographics Question_Education,0.007702779779255875
cat__Question_... if she argues with him,0.005728829822097682
cat__Demographics Response_Primary,0.0
cat__Question_... if she goes out without telling him,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
