feature,importance
cat__Question_... for at least one specific reason,0.27285494823135065
cat__Demographics Response_Higher,0.13133059639133246
cat__Demographics Response_Rural,0.06343523167540067
cat__Gender_M,0.06307232454168628
cat__Gender_F,0.062019019056397034
cat__Demographics Response_No education,0.057620590525549915
cat__Question_... if she burns the food,0.053360065398435665
cat__Question_... if she refuses to have sex with him,0.050125426794410996
cat__Demographics Question_Education,0.028919182820946698
cat__Demographics Response_Secondary,0.02676134707948024
cat__Question_... if she neglects the children,0.02464308633777971
cat__Demographics Response_Primary,0.021031438981010484
cat__Demographics Question_Residence,0.019243061593936607
cat__Demographics Response_Urban,0.017935158152720315
"cat__Demographics Response_Widowed, divorced, separated",0.017435125011425055
cat__Question_... if she goes out without telling him,0.01668070984384373
cat__Question_... if she argues with him,0.013493937939461275
cat__Demographics Question_Marital status,0.008331881063100966
cat__Demographics Question_Age,0.0070347861095294405
cat__Demographics Response_Never married,0.006308108057726557
cat__Demographics Response_Unemployed,0.0063067712511397055
cat__Demographics Question_Employment,0.0060121584531439756
cat__Demographics Response_35-49,0.00587676326782291
cat__Demographics Response_Married or living together,0.005316139952059076
cat__Demographics Response_15-24,0.004810847082673991
cat__Demographics Response_Employed for kind,0.004514969652285437
cat__Demographics Response_25-34,0.003094067272747517
cat__Demographics Response_Employed for cash,0.0024322574626027024
num__SurveyYear,0.0
