feature,importance
cat__Demographics Response_No education,0.24564798368437638
cat__Question_... for at least one specific reason,0.24324255538403172
cat__Question_... if she neglects the children,0.08780889503866557
cat__Question_... if she burns the food,0.050854489802883034
cat__Demographics Question_Education,0.049229319022051896
cat__Demographics Response_Higher,0.03844157598853215
cat__Question_... if she refuses to have sex with him,0.03722024398103723
cat__Question_... if she goes out without telling him,0.030271167108188318
cat__Demographics Response_Primary,0.029399113913346268
cat__Question_... if she argues with him,0.026412488042556855
cat__Gender_M,0.02630349782060314
cat__Gender_F,0.02299499225659898
cat__Demographics Response_Rural,0.019442301479484943
cat__Demographics Response_Employed for kind,0.01907612646628587
cat__Demographics Response_Secondary,0.015249678584380892
cat__Demographics Question_Residence,0.008744354681468903
cat__Demographics Question_Marital status,0.007774654013162936
cat__Demographics Question_Age,0.007715655111121273
cat__Demographics Response_Urban,0.0076160851464312515
cat__Demographics Question_Employment,0.0067253452729722895
cat__Demographics Response_Employed for cash,0.003928624443943401
cat__Demographics Response_25-34,0.003528031849969504
cat__Demographics Response_Never married,0.002405589801355822
cat__Demographics Response_35-49,0.0021924434188049383
cat__Demographics Response_Unemployed,0.0021595317090126217
cat__Demographics Response_15-24,0.0019540905365941536
cat__Demographics Response_Married or living together,0.001897253106031711
"cat__Demographics Response_Widowed, divorced, separated",0.0017639123361080464
num__SurveyYear,0.0
