feature,importance
cat__Question_... for at least one specific reason,0.41885501486110127
cat__Demographics Response_Higher,0.1690499667700615
cat__Question_... if she burns the food,0.07592274935180547
cat__Question_... if she refuses to have sex with him,0.07148214399520307
cat__Question_... if she neglects the children,0.05613639016814058
cat__Question_... if she goes out without telling him,0.0344569230541103
cat__Question_... if she argues with him,0.031037032869770484
cat__Gender_F,0.024658572709029436
cat__Gender_M,0.024329166305322513
cat__Demographics Response_Secondary,0.014125047316974872
cat__Demographics Response_35-49,0.011483512678943195
cat__Demographics Response_No education,0.007840523199470364
cat__Demographics Response_Rural,0.007286399587192691
cat__Demographics Response_Married or living together,0.007210525219132878
"cat__Demographics Response_Widowed, divorced, separated",0.006345837186857035
cat__Demographics Question_Age,0.004535297360369105
cat__Demographics Response_Never married,0.004526786895978316
cat__Demographics Response_Urban,0.004382483310874164
cat__Demographics Response_15-24,0.004047667459703955
cat__Demographics Response_Employed for kind,0.0039040428596589013
cat__Demographics Question_Marital status,0.003563868103056066
cat__Demographics Question_Education,0.0034868331175271407
cat__Demographics Response_Unemployed,0.0030434566232259413
cat__Demographics Question_Residence,0.0022739631053257507
cat__Demographics Response_Employed for cash,0.0020088853375350227
cat__Demographics Question_Employment,0.0016485447712372408
cat__Demographics Response_Primary,0.0015576058056109854
cat__Demographics Response_25-34,0.0008007599767817596
num__SurveyYear,0.0
