feature,importance
cat__Question_... for at least one specific reason,0.28972358567771805
cat__Demographics Response_No education,0.23200172548674225
cat__Question_... if she neglects the children,0.08736233287412856
cat__Gender_F,0.06943643870513978
cat__Gender_M,0.06313162916378501
cat__Demographics Response_Primary,0.06086787814399432
cat__Demographics Response_Higher,0.054432319195577825
cat__Question_... if she goes out without telling him,0.04001587687868564
cat__Demographics Response_15-24,0.02616118267704599
cat__Demographics Question_Education,0.014562553090166425
cat__Demographics Response_Never married,0.012990026807176732
cat__Question_... if she argues with him,0.0065657109275957136
cat__Question_... if she refuses to have sex with him,0.006217633574082322
cat__Demographics Response_Married or living together,0.006008296901738518
cat__Question_... if she burns the food,0.004607417205572787
cat__Demographics Response_Secondary,0.004500408067177782
cat__Demographics Response_35-49,0.0038525720033439955
cat__Demographics Question_Age,0.0030219996979841883
cat__Demographics Response_Rural,0.002399685149231015
cat__Demographics Question_Residence,0.0023789795422698
cat__Demographics Response_Unemployed,0.002115496441476296
"cat__Demographics Response_Widowed, divorced, separated",0.0018819496622184714
cat__Demographics Response_25-34,0.0018495561217521212
cat__Demographics Question_Marital status,0.001735317487478383
cat__Demographics Question_Employment,0.0008251320784924479
cat__Demographics Response_Urban,0.0008204647225489186
cat__Demographics Response_Employed for kind,0.0002956800245547041
cat__Demographics Response_Employed for cash,0.00023815169232189404
num__SurveyYear,0.0
