feature,importance
cat__Gender_F,0.3115960082260321
cat__Gender_M,0.20066018398656998
cat__Question_... for at least one specific reason,0.150328294577939
cat__Demographics Response_Higher,0.12146239666707806
cat__Demographics Response_Urban,0.0565883091583505
cat__Demographics Response_Secondary,0.03390412958049531
cat__Question_... if she refuses to have sex with him,0.022246389845705244
cat__Question_... if she neglects the children,0.01951022764479789
cat__Demographics Response_Never married,0.012821337693330928
cat__Demographics Response_No education,0.011274226170444303
cat__Demographics Response_Employed for cash,0.01127199297458284
"cat__Demographics Response_Widowed, divorced, separated",0.011199773609630054
cat__Demographics Question_Education,0.005693895771817305
cat__Demographics Response_15-24,0.004037535165016694
cat__Question_... if she burns the food,0.0035872380201639664
cat__Demographics Response_Employed for kind,0.0029651731551189153
cat__Question_... if she goes out without telling him,0.0027225015898986148
cat__Demographics Question_Residence,0.002646377882775962
cat__Demographics Question_Marital status,0.002441249493872708
cat__Demographics Response_Rural,0.0019111314422435707
cat__Demographics Response_Unemployed,0.001906742715411422
cat__Demographics Question_Employment,0.001860638207447545
cat__Demographics Response_Primary,0.0015473283223655099
cat__Question_... if she argues with him,0.0014365368304280386
cat__Demographics Question_Age,0.0014340236255111502
cat__Demographics Response_25-34,0.001239656389243349
cat__Demographics Response_Married or living together,0.0010575126021033253
cat__Demographics Response_35-49,0.0006491886516257782
num__SurveyYear,0.0
