feature,importance
cat__Question_... if she burns the food,0.3620191799975308
cat__Question_... for at least one specific reason,0.2103030219873881
cat__Gender_F,0.08332501331869496
cat__Demographics Response_Higher,0.08299114159152933
cat__Gender_M,0.07921387325034483
cat__Question_... if she neglects the children,0.03835196647976105
cat__Question_... if she refuses to have sex with him,0.03272698248443609
cat__Demographics Response_Secondary,0.017111603006273627
cat__Demographics Response_Never married,0.014581051155339244
cat__Demographics Response_No education,0.010641513792863516
cat__Question_... if she goes out without telling him,0.010455712594933839
cat__Demographics Response_Urban,0.01006488430928727
cat__Question_... if she argues with him,0.007938205477574204
"cat__Demographics Response_Widowed, divorced, separated",0.0064067730218419355
cat__Demographics Question_Education,0.005750147186862162
cat__Demographics Response_Rural,0.004449443326467443
cat__Demographics Response_Employed for kind,0.003814867769805791
cat__Demographics Question_Residence,0.0031516158817375315
cat__Demographics Response_Married or living together,0.002461721149659188
cat__Demographics Response_15-24,0.0023591129741107678
cat__Demographics Question_Marital status,0.0023371752728810805
cat__Demographics Question_Employment,0.0018674487086482634
cat__Demographics Question_Age,0.0017398002536537273
cat__Demographics Response_Primary,0.0017227521059517057
cat__Demographics Response_Unemployed,0.0014511859240833424
cat__Demographics Response_35-49,0.0011331547315116676
cat__Demographics Response_25-34,0.0008560817801440063
cat__Demographics Response_Employed for cash,0.0007745704666845565
num__SurveyYear,0.0
