feature,importance
cat__Question_... for at least one specific reason,0.4297911933448485
cat__Question_... if she refuses to have sex with him,0.14637891992140853
cat__Gender_F,0.1069231652621035
cat__Gender_M,0.08383734288746218
cat__Question_... if she burns the food,0.08360067458518351
cat__Demographics Response_Higher,0.033184493339003036
cat__Question_... if she neglects the children,0.03220056366539975
cat__Demographics Response_No education,0.013212577880232773
cat__Question_... if she goes out without telling him,0.011589836892046805
cat__Demographics Response_Never married,0.00853172189586824
cat__Demographics Response_Employed for kind,0.006914905934894643
cat__Demographics Response_Urban,0.006602835185146501
cat__Question_... if she argues with him,0.00643714977907522
"cat__Demographics Response_Widowed, divorced, separated",0.004286449987675516
cat__Demographics Question_Education,0.003488061953958602
cat__Demographics Response_15-24,0.0033265706694503828
cat__Demographics Question_Employment,0.0029548835302227526
cat__Demographics Response_Unemployed,0.002743119571903344
cat__Demographics Response_Employed for cash,0.0019698922823612013
cat__Demographics Question_Age,0.0018082670532998087
cat__Demographics Response_Primary,0.0015773119623431215
cat__Demographics Question_Marital status,0.0014739763444375068
cat__Demographics Response_Secondary,0.0014520056586904166
cat__Demographics Question_Residence,0.0013726400120389998
cat__Demographics Response_25-34,0.0012075508363589547
cat__Demographics Response_35-49,0.0012037477083855724
cat__Demographics Response_Rural,0.0010079864137146233
cat__Demographics Response_Married or living together,0.0009221554424859533
num__SurveyYear,0.0
