feature,importance
cat__Question_... for at least one specific reason,0.38494688633733365
cat__Demographics Response_Higher,0.0881549488340366
cat__Question_... if she burns the food,0.06766971685132012
cat__Gender_F,0.04996211102997948
cat__Gender_M,0.04288280792816174
cat__Demographics Response_15-24,0.04135485920854819
cat__Demographics Response_Never married,0.0316725764341569
cat__Demographics Response_Primary,0.026318730617700174
cat__Demographics Response_Unemployed,0.02339106976526081
cat__Question_... if she goes out without telling him,0.023009191041681764
cat__Question_... if she argues with him,0.020615430559250587
cat__Demographics Response_Urban,0.01996093746193701
cat__Question_... if she refuses to have sex with him,0.019757002191569804
cat__Question_... if she neglects the children,0.018749750294731957
cat__Demographics Question_Education,0.017645999539458123
cat__Demographics Question_Employment,0.015296275858555348
cat__Demographics Response_35-49,0.01497291721456658
cat__Demographics Response_Secondary,0.01336492544118299
cat__Demographics Response_No education,0.011542642409040984
cat__Demographics Question_Age,0.01134974070311335
cat__Demographics Question_Marital status,0.010077513417680482
cat__Demographics Question_Residence,0.008804207078135862
cat__Demographics Response_Married or living together,0.008180127250926901
cat__Demographics Response_Rural,0.006975060875181356
cat__Demographics Response_25-34,0.006864188113451498
cat__Demographics Response_Employed for kind,0.006296859101594069
"cat__Demographics Response_Widowed, divorced, separated",0.005586097384965051
cat__Demographics Response_Employed for cash,0.004597427056478554
num__SurveyYear,0.0
