feature,importance
cat__Gender_F,0.2454843694029622
cat__Question_... if she burns the food,0.24361126813665485
cat__Gender_M,0.19886609678039477
cat__Question_... for at least one specific reason,0.1370226180173863
cat__Question_... if she argues with him,0.05565594045447282
cat__Demographics Response_Higher,0.03460112553614755
cat__Question_... if she neglects the children,0.013395403738884308
cat__Question_... if she goes out without telling him,0.011488245739965765
cat__Question_... if she refuses to have sex with him,0.011355794606903159
cat__Demographics Question_Education,0.010081748965469716
cat__Demographics Question_Employment,0.005698422314239171
cat__Demographics Question_Marital status,0.004604008712787974
cat__Demographics Response_Urban,0.004193390630493448
cat__Demographics Question_Age,0.003231169984026289
cat__Demographics Response_Unemployed,0.002729344113507492
cat__Demographics Response_Secondary,0.00257978453439725
cat__Demographics Response_Rural,0.002399112780685951
cat__Demographics Response_Employed for kind,0.0022196132472045603
cat__Demographics Response_Never married,0.002000978405665764
cat__Demographics Response_No education,0.0016742801458685971
cat__Demographics Response_Primary,0.0015388183128221711
cat__Demographics Question_Residence,0.0015184927746509347
"cat__Demographics Response_Widowed, divorced, separated",0.00138482770237748
cat__Demographics Response_Married or living together,0.00101103557813499
cat__Demographics Response_15-24,0.000644990796121046
cat__Demographics Response_Employed for cash,0.00041731335173438293
cat__Demographics Response_35-49,0.0004047340588276678
cat__Demographics Response_25-34,0.00018707117721340492
num__SurveyYear,0.0
