feature,importance
cat__Question_... for at least one specific reason,0.32105944326944197
cat__Question_... if she refuses to have sex with him,0.09622435417115978
cat__Demographics Response_Higher,0.06387092162124094
cat__Question_... if she neglects the children,0.06234390663056922
cat__Gender_F,0.06091332336400418
cat__Gender_M,0.05812312024402975
cat__Demographics Response_No education,0.047659066679453785
cat__Question_... if she burns the food,0.04709693365702233
cat__Demographics Response_Employed for kind,0.03184356960879822
cat__Demographics Response_Primary,0.031522814420660794
cat__Question_... if she argues with him,0.023915306933951185
cat__Question_... if she goes out without telling him,0.01898134157265965
cat__Demographics Question_Education,0.017684167238023532
"cat__Demographics Response_Widowed, divorced, separated",0.014003788059645689
cat__Demographics Response_Urban,0.012874866262211838
cat__Demographics Question_Employment,0.011972792540025735
cat__Demographics Response_Rural,0.011013885835642551
cat__Demographics Response_Secondary,0.009453487417564103
cat__Demographics Response_Married or living together,0.00891815571715268
cat__Demographics Response_Employed for cash,0.008809960641182552
cat__Demographics Question_Residence,0.007073230774829612
cat__Demographics Response_Never married,0.0063184869714840945
cat__Demographics Question_Marital status,0.0062361000471577565
cat__Demographics Question_Age,0.005850238202964196
cat__Demographics Response_15-24,0.004781435842596415
cat__Demographics Response_Unemployed,0.00432200718736367
cat__Demographics Response_35-49,0.00390173966989873
cat__Demographics Response_25-34,0.00323155541926505
num__SurveyYear,0.0
