feature,importance
cat__Question_... for at least one specific reason,0.2445760487052585
cat__Gender_F,0.11377039644765442
cat__Gender_M,0.11259325064280072
cat__Question_... if she burns the food,0.09641599911834423
cat__Demographics Response_Higher,0.0811015502684298
cat__Demographics Response_Employed for kind,0.07678618440747399
cat__Question_... if she refuses to have sex with him,0.03335829766957539
cat__Demographics Response_No education,0.03025874912252312
cat__Demographics Response_Urban,0.02172816460305444
cat__Question_... if she neglects the children,0.019323927102579547
cat__Demographics Question_Employment,0.01845503503420344
cat__Question_... if she argues with him,0.015234000487810699
cat__Question_... if she goes out without telling him,0.015135419722954825
cat__Demographics Response_Primary,0.01481074348685673
cat__Demographics Question_Education,0.014582012581681294
cat__Demographics Response_Rural,0.014033143411624765
cat__Demographics Question_Residence,0.009667572790659761
"cat__Demographics Response_Widowed, divorced, separated",0.009508529483192928
cat__Demographics Response_Secondary,0.009440500758654331
cat__Demographics Response_Unemployed,0.009398879577365193
cat__Demographics Response_Never married,0.008578956871595876
cat__Demographics Question_Marital status,0.0065589035872611525
cat__Demographics Response_Employed for cash,0.005560781678090218
cat__Demographics Question_Age,0.005242496527311442
cat__Demographics Response_15-24,0.004243824319336311
cat__Demographics Response_35-49,0.00387600428547699
cat__Demographics Response_Married or living together,0.003049599877838704
cat__Demographics Response_25-34,0.0027110274303912456
num__SurveyYear,0.0
