feature,importance
cat__Question_... for at least one specific reason,0.21832555006319246
cat__Gender_F,0.2037758045440346
cat__Gender_M,0.1876898082232766
cat__Question_... if she burns the food,0.14337066318022693
cat__Demographics Response_Higher,0.11227870097791086
cat__Question_... if she neglects the children,0.047006115755127816
cat__Demographics Response_Urban,0.030915789814958978
cat__Demographics Question_Residence,0.009298959915546643
cat__Demographics Response_Secondary,0.007084144402074579
cat__Demographics Response_Unemployed,0.005569481082107115
cat__Question_... if she argues with him,0.005267981250383244
"cat__Demographics Response_Widowed, divorced, separated",0.0035960793560669293
cat__Question_... if she refuses to have sex with him,0.003198729529522766
cat__Demographics Response_No education,0.002772458261600507
cat__Demographics Question_Education,0.0026727048027726285
cat__Demographics Response_35-49,0.0026582673102957285
cat__Demographics Question_Age,0.0021156010006423737
cat__Demographics Response_Employed for kind,0.0020509540672969044
cat__Demographics Response_15-24,0.002044931417416315
cat__Demographics Response_Married or living together,0.001585641724254256
cat__Demographics Response_25-34,0.0012798064772291816
cat__Question_... if she goes out without telling him,0.0010968921282902416
cat__Demographics Question_Marital status,0.0010644825468508828
cat__Demographics Question_Employment,0.0009972467887643382
cat__Demographics Response_Employed for cash,0.0007630171607526317
cat__Demographics Response_Never married,0.0006844717292423384
cat__Demographics Response_Rural,0.0005107823625260782
cat__Demographics Response_Primary,0.00032493412763614615
num__SurveyYear,0.0
