feature,importance
cat__Question_... for at least one specific reason,0.2857021176221689
cat__Demographics Response_Higher,0.1386776663591694
cat__Gender_M,0.11909584808895121
cat__Question_... if she refuses to have sex with him,0.08211626418471515
cat__Gender_F,0.07958585515669585
cat__Question_... if she burns the food,0.06370046202504437
cat__Demographics Response_No education,0.055141669359879686
cat__Demographics Response_Employed for kind,0.031771559067893064
cat__Demographics Response_Urban,0.01967156326014234
cat__Demographics Response_Rural,0.016192814954064064
cat__Question_... if she neglects the children,0.01349281274267494
cat__Question_... if she argues with him,0.011597861902883437
cat__Demographics Response_Secondary,0.011451447140160833
cat__Demographics Response_Never married,0.009665346110982192
cat__Demographics Question_Residence,0.009098368426915998
cat__Demographics Response_Unemployed,0.008391481227947101
cat__Demographics Question_Education,0.00819937900789468
cat__Demographics Question_Employment,0.007774089809428212
cat__Question_... if she goes out without telling him,0.006950443817770725
cat__Demographics Question_Age,0.004203199996743149
cat__Demographics Response_Primary,0.0038561335244485387
"cat__Demographics Response_Widowed, divorced, separated",0.003551629971279796
cat__Demographics Response_15-24,0.0021427393037419967
cat__Demographics Response_Married or living together,0.002027184745226116
cat__Demographics Question_Marital status,0.0018657485237150565
cat__Demographics Response_35-49,0.0016965250050276714
cat__Demographics Response_Employed for cash,0.0012324398492143801
cat__Demographics Response_25-34,0.001147348815221172
num__SurveyYear,0.0
