feature,importance
cat__Question_... for at least one specific reason,0.3326573505117852
cat__Question_... if she refuses to have sex with him,0.14220186818859945
cat__Question_... if she burns the food,0.11583648540014715
cat__Demographics Response_Employed for kind,0.11195335017252211
cat__Demographics Response_Higher,0.05652064760893694
cat__Demographics Response_No education,0.04071621131147833
cat__Question_... if she argues with him,0.035513992439078504
cat__Question_... if she goes out without telling him,0.03148347546863467
cat__Question_... if she neglects the children,0.02883875680471987
cat__Demographics Response_Never married,0.018596164111492886
cat__Demographics Question_Education,0.016380891358644508
cat__Demographics Response_Urban,0.012040758659485208
cat__Demographics Question_Employment,0.009563707644315607
cat__Demographics Question_Marital status,0.007610987427745476
cat__Demographics Response_Rural,0.0058888732987599736
"cat__Demographics Response_Widowed, divorced, separated",0.0052456756348233866
cat__Demographics Response_15-24,0.004718570581040764
cat__Demographics Response_Married or living together,0.00429191880442659
cat__Demographics Response_Employed for cash,0.003734288911287034
cat__Demographics Response_35-49,0.0035673272528968947
cat__Demographics Question_Residence,0.0033394280226833493
cat__Demographics Response_Primary,0.003311774150103809
cat__Demographics Question_Age,0.0019723236275696145
cat__Demographics Response_Unemployed,0.0015810395368066597
cat__Demographics Response_25-34,0.001373001282192231
cat__Demographics Response_Secondary,0.0010611317898236467
cat__Gender_F,0.0
num__SurveyYear,0.0
