feature,importance
cat__Question_... for at least one specific reason,0.34778422659643105
cat__Question_... if she burns the food,0.1297833485571209
cat__Demographics Response_Higher,0.09076467617907431
cat__Question_... if she refuses to have sex with him,0.07054433637835576
cat__Demographics Response_No education,0.05854696762086543
cat__Gender_M,0.02756438365636318
cat__Gender_F,0.027361217058075992
cat__Question_... if she goes out without telling him,0.025797557949234523
cat__Demographics Response_Primary,0.025052494618800956
cat__Question_... if she neglects the children,0.022751285460440022
cat__Question_... if she argues with him,0.02183090138088073
cat__Demographics Response_15-24,0.021568559263607824
cat__Demographics Question_Education,0.021063409120517653
cat__Demographics Response_35-49,0.016036120130553642
cat__Demographics Response_Urban,0.012745321390918609
cat__Demographics Response_Never married,0.011428055220669404
cat__Demographics Response_Secondary,0.008352220663017574
cat__Demographics Question_Age,0.007192400583608277
cat__Demographics Response_Unemployed,0.0065462409541174275
cat__Demographics Question_Employment,0.00614457638164961
cat__Demographics Question_Residence,0.006008290720703324
cat__Demographics Response_Rural,0.005748075499403527
cat__Demographics Question_Marital status,0.005512077726221014
cat__Demographics Response_Married or living together,0.0054709387223438955
cat__Demographics Response_Employed for kind,0.005153841977061162
cat__Demographics Response_25-34,0.004911793571764125
cat__Demographics Response_Employed for cash,0.004345364461130037
"cat__Demographics Response_Widowed, divorced, separated",0.003991318157070084
num__SurveyYear,0.0
