feature,importance
cat__Demographics Response_No education,0.20944262
cat__Question_... if she refuses to have sex with him,0.12350124
cat__Question_... if she burns the food,0.09710672
"cat__Demographics Response_Widowed, divorced, separated",0.082577236
cat__Question_... for at least one specific reason,0.07443442
cat__Demographics Response_Higher,0.06144861
cat__Demographics Response_Urban,0.04087901
cat__Question_... if she argues with him,0.03878308
cat__Gender_F,0.03587355
cat__Demographics Response_Never married,0.028790712
cat__Question_... if she neglects the children,0.020593867
cat__Demographics Response_Employed for kind,0.019433018
cat__Demographics Question_Employment,0.019339034
cat__Demographics Question_Age,0.01897297
cat__Demographics Response_Secondary,0.018624103
cat__Demographics Response_15-24,0.015398077
cat__Demographics Response_Primary,0.012727984
cat__Question_... if she goes out without telling him,0.012546482
cat__Demographics Question_Education,0.011428698
cat__Demographics Response_Employed for cash,0.011267433
cat__Demographics Response_Rural,0.010717222
cat__Demographics Question_Marital status,0.008621759
cat__Demographics Question_Residence,0.0069519645
cat__Demographics Response_Married or living together,0.0068811225
cat__Demographics Response_25-34,0.0046796473
cat__Demographics Response_Unemployed,0.0045236493
cat__Demographics Response_35-49,0.004455697
cat__Gender_M,0.0
num__SurveyYear,0.0
