feature,importance
cat__Demographics Response_Higher,0.2462061
cat__Question_... for at least one specific reason,0.14366017
cat__Gender_F,0.11959569
cat__Question_... if she burns the food,0.0999672
cat__Demographics Response_Urban,0.0619785
cat__Question_... if she argues with him,0.04056137
cat__Question_... if she neglects the children,0.039989285
cat__Demographics Response_Secondary,0.0346832
"cat__Demographics Response_Widowed, divorced, separated",0.032412704
cat__Question_... if she refuses to have sex with him,0.028937466
cat__Demographics Response_Unemployed,0.021798305
cat__Question_... if she goes out without telling him,0.017492631
cat__Demographics Response_35-49,0.016359748
cat__Demographics Response_Married or living together,0.0111589115
cat__Demographics Response_25-34,0.009867277
cat__Demographics Question_Employment,0.008770593
cat__Demographics Response_No education,0.008621948
cat__Demographics Question_Marital status,0.008207002
cat__Demographics Response_15-24,0.007714105
cat__Demographics Response_Rural,0.0065026036
cat__Demographics Question_Residence,0.0063819624
cat__Demographics Response_Never married,0.006185927
cat__Demographics Question_Age,0.005982085
cat__Demographics Question_Education,0.0054756016
cat__Demographics Response_Primary,0.005060389
cat__Demographics Response_Employed for cash,0.004904341
cat__Demographics Response_Employed for kind,0.0015248
cat__Gender_M,0.0
num__SurveyYear,0.0
