feature,importance
cat__Question_... if she refuses to have sex with him,0.14740074
cat__Gender_F,0.13309123
cat__Question_... for at least one specific reason,0.117196806
cat__Demographics Response_Higher,0.11346763
cat__Question_... if she burns the food,0.11215047
cat__Demographics Response_Urban,0.06255916
cat__Question_... if she argues with him,0.047438584
cat__Demographics Response_Never married,0.039254952
cat__Question_... if she neglects the children,0.037813783
cat__Question_... if she goes out without telling him,0.025220182
cat__Demographics Response_No education,0.02239138
cat__Demographics Response_Unemployed,0.021444159
cat__Demographics Response_35-49,0.01615333
cat__Demographics Response_Secondary,0.014544207
cat__Demographics Response_15-24,0.013723196
cat__Demographics Response_25-34,0.011387991
cat__Demographics Question_Residence,0.010356676
cat__Demographics Response_Primary,0.010312343
cat__Demographics Question_Marital status,0.0067922277
cat__Demographics Question_Education,0.006398596
cat__Demographics Response_Rural,0.006225926
cat__Demographics Question_Employment,0.0054268497
cat__Demographics Response_Employed for kind,0.0049011963
"cat__Demographics Response_Widowed, divorced, separated",0.004866056
cat__Demographics Response_Married or living together,0.0041121403
cat__Demographics Question_Age,0.0037471398
cat__Demographics Response_Employed for cash,0.0016230375
cat__Gender_M,0.0
num__SurveyYear,0.0
