feature,importance
cat__Question_... if she refuses to have sex with him,0.17464392
cat__Demographics Response_Higher,0.17410126
cat__Question_... if she burns the food,0.13442469
cat__Question_... for at least one specific reason,0.121495776
cat__Question_... if she argues with him,0.055071056
cat__Demographics Response_Urban,0.038995404
cat__Demographics Response_Rural,0.030075539
cat__Question_... if she neglects the children,0.028322589
cat__Gender_F,0.023716208
cat__Demographics Response_Secondary,0.020699456
cat__Question_... if she goes out without telling him,0.019536793
cat__Demographics Response_No education,0.019093137
cat__Demographics Question_Education,0.018381586
cat__Demographics Response_Never married,0.0164731
cat__Demographics Response_25-34,0.014954295
cat__Demographics Response_35-49,0.014837939
cat__Demographics Response_Unemployed,0.014159996
cat__Demographics Question_Employment,0.012228449
cat__Demographics Question_Age,0.011082782
cat__Demographics Response_Primary,0.010793822
"cat__Demographics Response_Widowed, divorced, separated",0.00956865
cat__Demographics Response_Married or living together,0.009337131
cat__Demographics Question_Marital status,0.0092237415
cat__Demographics Question_Residence,0.0061627254
cat__Demographics Response_Employed for kind,0.006038428
cat__Demographics Response_15-24,0.004753745
cat__Demographics Response_Employed for cash,0.001827774
cat__Gender_M,0.0
num__SurveyYear,0.0
