feature,importance
cat__Question_... for at least one specific reason,0.3634315
cat__Gender_M,0.1626218
cat__Gender_F,0.1582046
cat__Demographics Response_Higher,0.07876983
cat__Question_... if she refuses to have sex with him,0.033190962
cat__Demographics Response_Never married,0.029667396
cat__Question_... if she argues with him,0.027162852
cat__Question_... if she neglects the children,0.023098355
cat__Demographics Response_Primary,0.016811034
cat__Question_... if she burns the food,0.016286466
cat__Demographics Response_Urban,0.010992753
cat__Demographics Response_Employed for cash,0.010671669
cat__Question_... if she goes out without telling him,0.008596507
cat__Demographics Response_Unemployed,0.007911234
"cat__Demographics Response_Widowed, divorced, separated",0.007888945
cat__Demographics Response_Secondary,0.004733165
cat__Demographics Response_Married or living together,0.0047090347
cat__Demographics Response_No education,0.004665678
cat__Demographics Question_Education,0.004467757
cat__Demographics Response_35-49,0.0040858327
cat__Demographics Response_15-24,0.003932616
cat__Demographics Question_Marital status,0.0037890438
cat__Demographics Response_Employed for kind,0.0030632564
cat__Demographics Response_25-34,0.0028892853
cat__Demographics Question_Employment,0.0027507911
cat__Demographics Question_Residence,0.0023082707
cat__Demographics Response_Rural,0.0016986995
cat__Demographics Question_Age,0.0016007186
num__SurveyYear,0.0
