feature,importance
cat__Gender_M,0.3041301
cat__Gender_F,0.15602247
cat__Question_... for at least one specific reason,0.13833806
cat__Question_... if she argues with him,0.06943832
cat__Question_... if she burns the food,0.0429008
cat__Demographics Response_Higher,0.039483376
cat__Demographics Response_Urban,0.027247254
cat__Question_... if she refuses to have sex with him,0.023320477
cat__Demographics Response_35-49,0.018530112
cat__Demographics Response_Employed for kind,0.018358089
cat__Question_... if she neglects the children,0.018351078
cat__Demographics Response_15-24,0.015905809
cat__Demographics Response_Married or living together,0.015519978
cat__Demographics Response_Never married,0.01381551
cat__Demographics Question_Age,0.01326249
cat__Demographics Response_Rural,0.011977809
cat__Demographics Response_Primary,0.009969799
cat__Demographics Response_25-34,0.009862985
cat__Question_... if she goes out without telling him,0.008900661
"cat__Demographics Response_Widowed, divorced, separated",0.008050341
cat__Demographics Response_No education,0.007564511
cat__Demographics Question_Education,0.006378696
cat__Demographics Question_Marital status,0.0062623257
cat__Demographics Response_Employed for cash,0.0045191334
cat__Demographics Question_Residence,0.0041938806
cat__Demographics Question_Employment,0.003052528
cat__Demographics Response_Unemployed,0.0029862362
cat__Demographics Response_Secondary,0.0016571057
num__SurveyYear,0.0
