feature,importance
cat__Question_... for at least one specific reason,0.16928193
cat__Demographics Response_No education,0.16737406
cat__Demographics Response_Higher,0.120980136
cat__Question_... if she refuses to have sex with him,0.07685676
cat__Demographics Response_Secondary,0.04415136
cat__Demographics Question_Education,0.042184796
cat__Demographics Response_Primary,0.039588444
cat__Gender_F,0.038922235
cat__Question_... if she burns the food,0.03562118
cat__Demographics Response_35-49,0.03204753
cat__Question_... if she argues with him,0.031490937
cat__Demographics Response_Married or living together,0.031226614
cat__Question_... if she neglects the children,0.029286766
cat__Demographics Response_15-24,0.018039096
cat__Demographics Response_25-34,0.017217379
cat__Demographics Response_Never married,0.015836714
cat__Question_... if she goes out without telling him,0.013808342
cat__Demographics Question_Marital status,0.013499258
cat__Demographics Response_Employed for kind,0.00918632
cat__Demographics Question_Employment,0.008923852
cat__Demographics Response_Employed for cash,0.008179642
cat__Demographics Question_Residence,0.007945768
cat__Demographics Question_Age,0.007630006
cat__Demographics Response_Urban,0.007525305
cat__Demographics Response_Rural,0.007260638
"cat__Demographics Response_Widowed, divorced, separated",0.0037296384
cat__Demographics Response_Unemployed,0.0022053998
cat__Gender_M,0.0
num__SurveyYear,0.0
