feature,importance
cat__Question_... if she burns the food,0.1942552
cat__Question_... if she refuses to have sex with him,0.19215524
cat__Question_... for at least one specific reason,0.13862023
cat__Demographics Response_Higher,0.085297875
cat__Question_... if she goes out without telling him,0.07503448
cat__Question_... if she argues with him,0.02832591
cat__Demographics Response_Urban,0.027420072
cat__Gender_F,0.026990337
cat__Demographics Response_No education,0.025672551
cat__Question_... if she neglects the children,0.02524779
cat__Demographics Response_Rural,0.022855347
cat__Demographics Question_Education,0.015678681
cat__Demographics Question_Age,0.014675605
cat__Demographics Response_35-49,0.014436732
cat__Demographics Response_Never married,0.013819314
cat__Demographics Response_25-34,0.013265066
cat__Demographics Question_Marital status,0.0111347865
cat__Demographics Response_Primary,0.01074123
cat__Demographics Response_Unemployed,0.010711747
cat__Demographics Response_Employed for cash,0.009494586
cat__Demographics Question_Employment,0.008668195
cat__Demographics Response_Employed for kind,0.008338832
cat__Demographics Response_Secondary,0.0073497337
cat__Demographics Response_15-24,0.0070277844
cat__Demographics Response_Married or living together,0.005715543
"cat__Demographics Response_Widowed, divorced, separated",0.0036961883
cat__Demographics Question_Residence,0.0033708864
cat__Gender_M,0.0
num__SurveyYear,0.0
