feature,importance
cat__Question_... for at least one specific reason,0.1671681
cat__Demographics Response_Higher,0.16261044
cat__Demographics Response_Secondary,0.06072542
cat__Question_... if she refuses to have sex with him,0.05366378
cat__Demographics Response_Urban,0.053314198
cat__Question_... if she neglects the children,0.052251726
cat__Demographics Response_No education,0.04158603
cat__Gender_F,0.030895477
cat__Demographics Response_25-34,0.029801859
cat__Question_... if she argues with him,0.02940534
cat__Demographics Response_35-49,0.027504463
cat__Demographics Response_Employed for cash,0.027499268
cat__Demographics Response_Married or living together,0.026671033
cat__Demographics Question_Age,0.0245409
cat__Question_... if she burns the food,0.021886509
cat__Demographics Question_Education,0.021552514
cat__Demographics Response_Rural,0.02030323
cat__Demographics Question_Employment,0.019815281
cat__Question_... if she goes out without telling him,0.018337108
cat__Demographics Question_Marital status,0.017854037
cat__Demographics Response_Never married,0.017084967
cat__Demographics Response_15-24,0.016970446
"cat__Demographics Response_Widowed, divorced, separated",0.015463449
cat__Demographics Response_Primary,0.012957418
cat__Demographics Response_Employed for kind,0.012073054
cat__Demographics Question_Residence,0.010521563
cat__Demographics Response_Unemployed,0.007542474
cat__Gender_M,0.0
num__SurveyYear,0.0
