feature,importance
cat__Question_... for at least one specific reason,0.2316609
cat__Demographics Response_Employed for kind,0.10076571
cat__Question_... if she refuses to have sex with him,0.09046843
cat__Demographics Response_Higher,0.086039424
cat__Question_... if she burns the food,0.07643637
cat__Question_... if she neglects the children,0.066593446
cat__Demographics Response_Primary,0.03882346
cat__Question_... if she goes out without telling him,0.03337164
cat__Question_... if she argues with him,0.032866493
cat__Demographics Response_Urban,0.028840534
cat__Demographics Question_Marital status,0.022120422
cat__Demographics Response_Secondary,0.019156763
cat__Demographics Question_Age,0.017911779
cat__Demographics Response_Never married,0.01761477
cat__Gender_F,0.017248027
cat__Demographics Question_Education,0.017137406
"cat__Demographics Response_Widowed, divorced, separated",0.016416825
cat__Demographics Response_No education,0.016163405
cat__Demographics Response_Employed for cash,0.01465697
cat__Demographics Response_25-34,0.010128468
cat__Demographics Question_Residence,0.009411767
cat__Demographics Response_Married or living together,0.009366394
cat__Demographics Response_35-49,0.009041067
cat__Demographics Response_Unemployed,0.008031583
cat__Demographics Response_Rural,0.003735234
cat__Demographics Response_15-24,0.0034900226
cat__Demographics Question_Employment,0.002502673
cat__Gender_M,0.0
num__SurveyYear,0.0
