feature,importance
cat__Question_... for at least one specific reason,0.16564776
cat__Question_... if she burns the food,0.12623057
cat__Gender_F,0.116916105
cat__Gender_M,0.08171348
cat__Demographics Response_No education,0.06424128
cat__Demographics Response_Rural,0.04963942
cat__Demographics Response_Primary,0.04146334
cat__Question_... if she neglects the children,0.033979334
cat__Demographics Response_Employed for kind,0.031700227
cat__Demographics Response_35-49,0.030470701
cat__Demographics Question_Education,0.02842084
cat__Demographics Response_Higher,0.028180206
cat__Demographics Question_Employment,0.021794897
cat__Demographics Response_Married or living together,0.021322709
cat__Demographics Question_Residence,0.021249428
cat__Demographics Question_Marital status,0.017316693
"cat__Demographics Response_Widowed, divorced, separated",0.017224578
cat__Question_... if she goes out without telling him,0.016185584
cat__Question_... if she argues with him,0.014927963
cat__Demographics Response_Unemployed,0.014786677
cat__Demographics Response_15-24,0.011148502
cat__Demographics Response_25-34,0.0103648035
cat__Demographics Response_Never married,0.009722505
cat__Demographics Question_Age,0.009378345
cat__Demographics Response_Urban,0.009182314
cat__Demographics Response_Secondary,0.006791711
num__SurveyYear,0.0
