feature,importance
cat__Question_... if she burns the food,0.25050324
cat__Question_... for at least one specific reason,0.11924324
cat__Demographics Response_No education,0.11417249
cat__Demographics Response_Higher,0.095344
cat__Question_... if she refuses to have sex with him,0.07230877
cat__Demographics Response_Urban,0.067057624
cat__Demographics Response_Employed for kind,0.03333536
cat__Question_... if she argues with him,0.031900883
cat__Question_... if she neglects the children,0.03087526
cat__Demographics Response_Secondary,0.029982734
cat__Question_... if she goes out without telling him,0.020002788
cat__Demographics Response_Unemployed,0.015381827
cat__Demographics Question_Education,0.013452953
cat__Demographics Response_Primary,0.01289722
cat__Demographics Response_Rural,0.011680304
cat__Demographics Response_Never married,0.011363504
cat__Gender_F,0.009838877
cat__Demographics Response_Employed for cash,0.009800615
cat__Demographics Question_Residence,0.007647176
cat__Demographics Question_Marital status,0.0075373617
cat__Demographics Question_Employment,0.0072476086
cat__Demographics Response_35-49,0.007241686
cat__Demographics Response_25-34,0.0071998946
cat__Demographics Question_Age,0.0063656894
cat__Demographics Response_Married or living together,0.003013362
"cat__Demographics Response_Widowed, divorced, separated",0.0027567155
cat__Demographics Response_15-24,0.0018487147
cat__Gender_M,0.0
num__SurveyYear,0.0
