feature,importance
cat__Question_... if she refuses to have sex with him,0.24482548
cat__Question_... if she burns the food,0.2182521
cat__Gender_F,0.13891865
cat__Question_... for at least one specific reason,0.11616118
cat__Demographics Response_Higher,0.06563503
cat__Demographics Response_35-49,0.029848391
cat__Question_... if she argues with him,0.016565107
cat__Demographics Response_Secondary,0.0157821
cat__Demographics Response_Unemployed,0.0136963185
cat__Demographics Response_Married or living together,0.013359459
cat__Question_... if she goes out without telling him,0.012282038
cat__Demographics Response_No education,0.011363441
cat__Demographics Response_Primary,0.01116721
cat__Demographics Response_Rural,0.010182441
cat__Demographics Response_Urban,0.009634003
cat__Demographics Question_Education,0.008305488
cat__Demographics Response_Employed for kind,0.0078774
cat__Demographics Response_15-24,0.007290667
"cat__Demographics Response_Widowed, divorced, separated",0.0070949807
cat__Demographics Question_Marital status,0.0067128455
cat__Demographics Response_Employed for cash,0.006568068
cat__Demographics Response_Never married,0.006467255
cat__Demographics Question_Employment,0.0056288075
cat__Question_... if she neglects the children,0.004673335
cat__Demographics Question_Age,0.004207065
cat__Demographics Question_Residence,0.0038605877
cat__Demographics Response_25-34,0.0036406266
cat__Gender_M,0.0
num__SurveyYear,0.0
