feature,importance
cat__Question_... if she refuses to have sex with him,0.26434514
cat__Question_... if she argues with him,0.19498225
cat__Question_... if she burns the food,0.16386873
cat__Question_... for at least one specific reason,0.12867059
cat__Demographics Response_Higher,0.061575253
cat__Question_... if she goes out without telling him,0.034883257
cat__Question_... if she neglects the children,0.034179725
cat__Demographics Response_35-49,0.014763299
cat__Demographics Response_Employed for cash,0.009198108
cat__Demographics Response_Employed for kind,0.009071382
cat__Demographics Question_Education,0.0077316016
cat__Demographics Response_Married or living together,0.0071404777
cat__Demographics Response_No education,0.006757581
cat__Demographics Response_Urban,0.0064070793
cat__Demographics Response_15-24,0.0059728697
cat__Gender_F,0.0059547396
cat__Demographics Question_Employment,0.0056532817
"cat__Demographics Response_Widowed, divorced, separated",0.005583693
cat__Demographics Response_Secondary,0.005162088
cat__Demographics Response_Unemployed,0.004823245
cat__Demographics Question_Marital status,0.004808415
cat__Demographics Response_25-34,0.004444977
cat__Demographics Question_Residence,0.004349823
cat__Demographics Question_Age,0.0026803545
cat__Demographics Response_Rural,0.0025015003
cat__Demographics Response_Never married,0.002271191
cat__Demographics Response_Primary,0.0022194164
cat__Gender_M,0.0
num__SurveyYear,0.0
