feature,importance
cat__Question_... if she burns the food,0.23119403
cat__Gender_F,0.11797963
cat__Demographics Response_Higher,0.11595727
cat__Question_... for at least one specific reason,0.09959881
cat__Demographics Response_Urban,0.054457884
cat__Question_... if she goes out without telling him,0.047961567
cat__Demographics Response_Unemployed,0.037246246
cat__Question_... if she neglects the children,0.0344091
cat__Demographics Response_Secondary,0.032427404
cat__Demographics Response_Never married,0.032135285
cat__Question_... if she argues with him,0.029995454
cat__Question_... if she refuses to have sex with him,0.028009012
"cat__Demographics Response_Widowed, divorced, separated",0.02785157
cat__Demographics Response_Employed for kind,0.016407643
cat__Demographics Response_Rural,0.013025448
cat__Demographics Question_Marital status,0.012764173
cat__Demographics Response_No education,0.008921729
cat__Demographics Response_Primary,0.008648262
cat__Demographics Response_15-24,0.0076648677
cat__Demographics Response_25-34,0.006829218
cat__Demographics Question_Employment,0.0062569235
cat__Demographics Question_Age,0.0059903516
cat__Demographics Response_Employed for cash,0.0059877904
cat__Demographics Question_Residence,0.005750419
cat__Demographics Question_Education,0.0043769293
cat__Demographics Response_35-49,0.004351065
cat__Demographics Response_Married or living together,0.0038018578
cat__Gender_M,0.0
num__SurveyYear,0.0
