feature,importance
cat__Question_... if she argues with him,0.120147
cat__Question_... for at least one specific reason,0.114612445
cat__Question_... if she refuses to have sex with him,0.104653396
cat__Question_... if she burns the food,0.10197509
cat__Demographics Response_Primary,0.0817966
cat__Demographics Response_Higher,0.07716224
cat__Question_... if she goes out without telling him,0.06630137
"cat__Demographics Response_Widowed, divorced, separated",0.057755027
cat__Question_... if she neglects the children,0.048094448
cat__Demographics Response_Urban,0.047581833
cat__Demographics Response_Employed for kind,0.019164741
cat__Demographics Question_Age,0.019140286
cat__Demographics Response_Employed for cash,0.018800626
cat__Gender_F,0.016556028
cat__Demographics Response_25-34,0.015723098
cat__Demographics Response_Unemployed,0.014810059
cat__Demographics Response_Married or living together,0.012531655
cat__Demographics Response_Never married,0.010762033
cat__Demographics Question_Education,0.009833614
cat__Demographics Question_Marital status,0.0096542
cat__Demographics Question_Residence,0.0077925487
cat__Demographics Response_Rural,0.0073064067
cat__Demographics Response_35-49,0.0062496974
cat__Demographics Question_Employment,0.004892525
cat__Demographics Response_Secondary,0.004061639
cat__Demographics Response_15-24,0.002641356
cat__Gender_M,0.0
num__SurveyYear,0.0
