feature,importance
cat__Question_... if she argues with him,0.21676211
cat__Question_... if she refuses to have sex with him,0.16489108
cat__Question_... if she burns the food,0.15662412
cat__Question_... for at least one specific reason,0.14492692
cat__Question_... if she goes out without telling him,0.10109155
cat__Question_... if she neglects the children,0.047823098
cat__Demographics Response_Higher,0.03345695
cat__Demographics Response_Urban,0.018888516
"cat__Demographics Response_Widowed, divorced, separated",0.012088068
cat__Demographics Response_35-49,0.00932529
cat__Demographics Response_Married or living together,0.009022152
cat__Demographics Question_Residence,0.0077280393
cat__Demographics Response_25-34,0.0075008506
cat__Demographics Response_Employed for kind,0.00675153
cat__Demographics Response_Primary,0.0061638234
cat__Demographics Response_Unemployed,0.0055784304
cat__Demographics Response_15-24,0.0052876878
cat__Demographics Response_Secondary,0.0051717716
cat__Demographics Question_Marital status,0.0051225834
cat__Demographics Response_Never married,0.005078165
cat__Demographics Question_Education,0.004950787
cat__Demographics Response_Employed for cash,0.0047960733
cat__Gender_F,0.004555081
cat__Demographics Response_No education,0.0045349975
cat__Demographics Question_Age,0.0044626994
cat__Demographics Response_Rural,0.003964917
cat__Demographics Question_Employment,0.003452737
cat__Gender_M,0.0
num__SurveyYear,0.0
