feature,importance
cat__Question_... if she refuses to have sex with him,0.24812032
cat__Question_... if she burns the food,0.23718059
cat__Question_... for at least one specific reason,0.10968161
cat__Question_... if she argues with him,0.07570641
cat__Question_... if she goes out without telling him,0.074894466
"cat__Demographics Response_Widowed, divorced, separated",0.057616238
cat__Demographics Response_Higher,0.039279502
cat__Question_... if she neglects the children,0.027997367
cat__Demographics Response_25-34,0.016165303
cat__Demographics Response_35-49,0.01218433
cat__Demographics Response_Married or living together,0.010718565
cat__Gender_F,0.009021103
cat__Demographics Response_Never married,0.007820391
cat__Demographics Question_Residence,0.0070369286
cat__Demographics Question_Employment,0.00649277
cat__Demographics Response_Employed for cash,0.0061254026
cat__Demographics Response_Rural,0.005736985
cat__Demographics Question_Marital status,0.0056833266
cat__Demographics Response_Primary,0.0055552353
cat__Demographics Response_Urban,0.0054982244
cat__Demographics Question_Education,0.0054637776
cat__Demographics Response_Unemployed,0.0045204395
cat__Demographics Response_15-24,0.00444571
cat__Demographics Response_Secondary,0.0044265892
cat__Demographics Response_No education,0.0043722684
cat__Demographics Response_Employed for kind,0.004253251
cat__Demographics Question_Age,0.004002882
cat__Gender_M,0.0
num__SurveyYear,0.0
