feature,importance
cat__Question_... for at least one specific reason,0.24708106
cat__Demographics Response_Primary,0.051799443
cat__Question_... if she argues with him,0.049635466
cat__Demographics Response_Employed for kind,0.049506027
cat__Question_... if she neglects the children,0.047653258
cat__Question_... if she refuses to have sex with him,0.046634406
cat__Demographics Question_Age,0.04284172
cat__Demographics Response_No education,0.042631324
cat__Demographics Response_Urban,0.042137463
cat__Demographics Question_Marital status,0.041657865
cat__Demographics Response_Unemployed,0.03937145
cat__Demographics Question_Education,0.038265307
cat__Demographics Response_Secondary,0.038083695
cat__Demographics Response_Rural,0.03377178
cat__Demographics Response_Employed for cash,0.033188432
cat__Demographics Response_Higher,0.029942133
cat__Question_... if she burns the food,0.025437301
cat__Demographics Question_Residence,0.023228036
cat__Demographics Question_Employment,0.022751553
cat__Demographics Response_Never married,0.014233355
cat__Demographics Response_25-34,0.0134705035
cat__Question_... if she goes out without telling him,0.012070552
cat__Demographics Response_15-24,0.0043662875
cat__Demographics Response_35-49,0.0040518213
"cat__Demographics Response_Widowed, divorced, separated",0.0035604278
cat__Demographics Response_Married or living together,0.0026292722
cat__Gender_F,0.0
num__SurveyYear,0.0
