feature,importance
cat__Question_... for at least one specific reason,0.2299735
cat__Question_... if she neglects the children,0.09819738
cat__Demographics Response_Rural,0.056277417
cat__Demographics Response_Higher,0.056071848
cat__Question_... if she refuses to have sex with him,0.048676275
cat__Question_... if she burns the food,0.047418617
cat__Demographics Response_Primary,0.040418137
cat__Gender_F,0.039112326
cat__Demographics Response_Secondary,0.035991598
cat__Demographics Response_Married or living together,0.034614615
cat__Gender_M,0.032674477
cat__Demographics Response_15-24,0.029057685
cat__Demographics Question_Age,0.028121796
cat__Demographics Response_Urban,0.026600908
cat__Demographics Response_35-49,0.026049118
cat__Demographics Question_Residence,0.017900174
cat__Demographics Response_25-34,0.016551029
cat__Demographics Question_Marital status,0.015856674
cat__Demographics Response_Unemployed,0.015810626
cat__Demographics Response_Employed for cash,0.0150701525
cat__Demographics Response_Never married,0.014171568
cat__Demographics Question_Employment,0.01311374
cat__Question_... if she goes out without telling him,0.012379644
cat__Demographics Question_Education,0.011722068
cat__Demographics Response_No education,0.011433639
"cat__Demographics Response_Widowed, divorced, separated",0.009373399
cat__Demographics Response_Employed for kind,0.008984141
cat__Question_... if she argues with him,0.008377511
num__SurveyYear,0.0
