feature,importance
cat__Question_... for at least one specific reason,0.1707847
cat__Demographics Response_Employed for kind,0.11202214
cat__Question_... if she refuses to have sex with him,0.08814339
cat__Demographics Response_No education,0.08030517
cat__Question_... if she burns the food,0.071538985
cat__Demographics Response_Urban,0.061150827
"cat__Demographics Response_Widowed, divorced, separated",0.056331705
cat__Demographics Response_Never married,0.049423493
cat__Demographics Response_15-24,0.04752939
cat__Demographics Response_Higher,0.04335957
cat__Demographics Response_Employed for cash,0.04263111
cat__Demographics Question_Marital status,0.03792537
cat__Question_... if she neglects the children,0.025694374
cat__Question_... if she argues with him,0.024533013
cat__Demographics Response_Married or living together,0.01798521
cat__Demographics Response_Rural,0.014325729
cat__Demographics Question_Education,0.013170204
cat__Demographics Response_Primary,0.010917511
cat__Demographics Response_35-49,0.007451822
cat__Question_... if she goes out without telling him,0.0069897235
cat__Demographics Response_Secondary,0.0063646203
cat__Demographics Question_Residence,0.0056815385
cat__Demographics Response_Unemployed,0.0018750549
cat__Demographics Question_Employment,0.0018142142
cat__Demographics Question_Age,0.0010646945
cat__Demographics Response_25-34,0.0009864894
cat__Gender_F,0.0
num__SurveyYear,0.0
