feature,importance
cat__Question_... for at least one specific reason,0.2443007
cat__Question_... if she refuses to have sex with him,0.12700064
cat__Question_... if she burns the food,0.10983925
cat__Demographics Response_Higher,0.08002427
cat__Question_... if she neglects the children,0.070383616
cat__Demographics Response_Urban,0.050322287
cat__Demographics Response_Secondary,0.049719065
cat__Demographics Response_25-34,0.031275667
cat__Demographics Response_Primary,0.025683613
cat__Demographics Response_35-49,0.023726555
cat__Demographics Response_15-24,0.021659184
cat__Gender_F,0.02125525
cat__Demographics Response_No education,0.018795162
cat__Demographics Response_Employed for kind,0.016819289
cat__Demographics Question_Age,0.014709559
cat__Question_... if she argues with him,0.0141824605
cat__Demographics Response_Unemployed,0.01324969
cat__Demographics Response_Married or living together,0.012123554
cat__Demographics Question_Residence,0.010800762
cat__Demographics Response_Employed for cash,0.009169554
cat__Demographics Response_Never married,0.007221908
cat__Demographics Response_Rural,0.006379368
cat__Demographics Question_Marital status,0.0050664237
"cat__Demographics Response_Widowed, divorced, separated",0.0046018152
cat__Demographics Question_Employment,0.0045434134
cat__Question_... if she goes out without telling him,0.004423029
cat__Demographics Question_Education,0.0027240003
cat__Gender_M,0.0
num__SurveyYear,0.0
