feature,importance
cat__Question_... for at least one specific reason,0.1835059
cat__Gender_F,0.13265897
cat__Question_... if she neglects the children,0.1279073
"cat__Demographics Response_Widowed, divorced, separated",0.11966464
cat__Question_... if she burns the food,0.10221805
cat__Question_... if she refuses to have sex with him,0.08508843
cat__Gender_M,0.04838489
cat__Demographics Question_Education,0.025552534
cat__Demographics Response_15-24,0.017117921
cat__Demographics Response_Rural,0.015487885
cat__Demographics Response_Secondary,0.014041097
cat__Demographics Response_Married or living together,0.013892477
cat__Demographics Response_Employed for kind,0.013347745
cat__Question_... if she goes out without telling him,0.012806421
cat__Question_... if she argues with him,0.011980536
cat__Demographics Response_25-34,0.011920533
cat__Demographics Response_Higher,0.011472803
cat__Demographics Response_Urban,0.01069457
cat__Demographics Question_Marital status,0.009858042
cat__Demographics Response_Unemployed,0.007890126
cat__Demographics Question_Employment,0.005542897
cat__Demographics Response_Never married,0.0052684634
cat__Demographics Question_Age,0.004967105
cat__Demographics Response_35-49,0.0030362103
cat__Demographics Question_Residence,0.0029003655
cat__Demographics Response_Employed for cash,0.0027939845
num__SurveyYear,0.0
