feature,importance
cat__Question_... for at least one specific reason,0.37585831816733195
cat__Demographics Response_Higher,0.20235875439502343
cat__Gender_M,0.12512901372095184
cat__Demographics Response_Rural,0.07385813295722488
cat__Demographics Response_No education,0.05971930722328928
cat__Question_... if she neglects the children,0.04807199408643821
cat__Demographics Response_Secondary,0.028050529099305922
cat__Question_... if she argues with him,0.013648865092140642
cat__Demographics Response_Primary,0.012091733514745635
cat__Question_... if she refuses to have sex with him,0.009089592111575708
cat__Question_... if she goes out without telling him,0.008400834075773458
"cat__Demographics Response_Widowed, divorced, separated",0.007401713526916058
cat__Question_... if she burns the food,0.00612463482784589
cat__Demographics Question_Residence,0.005175006516691979
cat__Demographics Question_Marital status,0.004220088464914531
cat__Demographics Question_Age,0.0041275546845569834
cat__Demographics Response_Unemployed,0.0036530599464343737
cat__Demographics Response_Never married,0.0036437674822051443
cat__Demographics Question_Education,0.002366470209411752
cat__Demographics Question_Employment,0.0019315788781062498
cat__Demographics Response_Married or living together,0.0012770249074622257
cat__Demographics Response_15-24,0.0011950990180886437
cat__Demographics Response_25-34,0.0011515045436607265
cat__Demographics Response_Employed for kind,0.001143640348147539
cat__Demographics Response_Employed for cash,0.00031178220175695183
cat__Gender_F,0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_35-49,0.0
num__SurveyYear,0.0
