feature,importance
cat__Question_... for at least one specific reason,0.4362988296751168
cat__Question_... if she neglects the children,0.25801545763177564
cat__Demographics Response_Higher,0.11439007330002934
cat__Question_... if she goes out without telling him,0.08842326240160062
cat__Gender_M,0.06056273124749771
cat__Question_... if she argues with him,0.03429773917971513
cat__Demographics Response_Rural,0.0036534488817584056
cat__Demographics Response_35-49,0.0018517409090702435
cat__Demographics Question_Residence,0.0016912620073641742
cat__Demographics Response_Primary,0.000815454766072069
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Question_... if she burns the food,0.0
cat__Demographics Response_Unemployed,0.0
cat__Question_... if she refuses to have sex with him,0.0
cat__Demographics Response_Secondary,0.0
cat__Gender_F,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
