feature,importance
cat__Gender_F,0.539197662023448
cat__Question_... for at least one specific reason,0.2546322165210406
cat__Question_... if she goes out without telling him,0.09702242230235336
cat__Question_... if she neglects the children,0.0736463735600063
cat__Question_... if she refuses to have sex with him,0.017468048678833933
cat__Question_... if she burns the food,0.009515836841000604
cat__Demographics Response_Employed for kind,0.003665661914392868
cat__Demographics Response_Never married,0.003397557677755756
cat__Demographics Question_Education,0.0014542204811687407
cat__Demographics Response_25-34,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Question_Age,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Marital status,0.0
cat__Question_... if she argues with him,0.0
cat__Demographics Question_Residence,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Gender_M,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Higher,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Response_Employed for cash,0.0
num__SurveyYear,0.0
