feature,importance
cat__Gender_F,0.38974991680029547
cat__Question_... for at least one specific reason,0.38432107822117567
cat__Question_... if she refuses to have sex with him,0.11100494999784835
cat__Question_... if she neglects the children,0.08592432012078573
cat__Question_... if she goes out without telling him,0.02102883062012519
cat__Demographics Question_Education,0.007970904239769502
cat__Demographics Response_Never married,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Gender_M,0.0
cat__Demographics Response_Higher,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
