feature,importance
cat__Question_... if she burns the food,0.290853901222935
cat__Gender_M,0.2867272558568964
cat__Question_... if she argues with him,0.1598043159088436
cat__Question_... for at least one specific reason,0.13177335630564888
cat__Demographics Response_Higher,0.11258287573508506
cat__Demographics Response_Rural,0.0076809902908744985
cat__Demographics Question_Employment,0.004976337252178417
cat__Demographics Response_Employed for kind,0.0037247610405706302
cat__Demographics Response_Urban,0.0009105199729091962
cat__Demographics Question_Marital status,0.0006420217076685717
cat__Demographics Response_Primary,0.000321401426745169
cat__Demographics Response_Married or living together,2.2632796445418553e-06
cat__Question_... if she goes out without telling him,0.0
cat__Demographics Response_Unemployed,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Question_... if she neglects the children,0.0
cat__Question_... if she refuses to have sex with him,0.0
cat__Gender_F,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
