feature,importance
cat__Gender_M,0.34676966352160493
cat__Question_... for at least one specific reason,0.2507530513345492
cat__Demographics Response_No education,0.11209952659155079
cat__Question_... if she neglects the children,0.09394735529002675
cat__Demographics Response_Higher,0.08348164333751203
cat__Question_... if she burns the food,0.04632207099371115
cat__Question_... if she refuses to have sex with him,0.0181630152484455
cat__Demographics Response_Rural,0.008395824005011918
cat__Demographics Question_Marital status,0.007804029826472474
cat__Demographics Question_Age,0.006350167226517009
cat__Demographics Question_Education,0.005847097538895645
cat__Demographics Response_Urban,0.005764505751563093
cat__Question_... if she goes out without telling him,0.005755966175208104
cat__Demographics Response_15-24,0.0026402473940021483
cat__Demographics Response_Employed for kind,0.0022690636715634017
cat__Demographics Question_Residence,0.0016169218551901378
cat__Demographics Response_Never married,0.0008706776798182686
cat__Demographics Question_Employment,0.0005172300256398762
cat__Demographics Response_35-49,0.00042878896685565304
cat__Demographics Response_Secondary,0.0002031535658619369
cat__Question_... if she argues with him,0.0
cat__Gender_F,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_25-34,0.0
num__SurveyYear,0.0
