feature,importance
cat__Question_... for at least one specific reason,0.5272358446379165
cat__Question_... if she neglects the children,0.22688855667705324
cat__Gender_M,0.10070675084548134
cat__Gender_F,0.04845606692811346
cat__Demographics Response_Higher,0.0360503583184553
cat__Demographics Response_No education,0.023352683510595877
cat__Question_... if she refuses to have sex with him,0.014358013282168791
cat__Question_... if she argues with him,0.010624908596958811
cat__Demographics Question_Education,0.0073336582263552694
cat__Question_... if she goes out without telling him,0.0028674729401717432
cat__Question_... if she burns the food,0.0019291434736705936
cat__Demographics Question_Employment,0.00015900294367752837
cat__Demographics Question_Marital status,3.753961938157635e-05
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
