feature,importance
cat__Question_... if she burns the food,0.41866951169590155
cat__Question_... for at least one specific reason,0.2145773688136607
cat__Gender_F,0.1785743760915726
cat__Demographics Response_Higher,0.08365204581759972
cat__Question_... if she neglects the children,0.055377830058738586
cat__Question_... if she refuses to have sex with him,0.021468248946855267
cat__Demographics Response_Never married,0.017673877260331882
cat__Demographics Response_Secondary,0.004513514775630011
cat__Question_... if she argues with him,0.002248363755701582
"cat__Demographics Response_Widowed, divorced, separated",0.0017901545022760955
cat__Demographics Question_Education,0.0008469674491281695
cat__Demographics Response_15-24,0.000522885819992617
cat__Demographics Response_Primary,8.485501261121321e-05
cat__Demographics Question_Residence,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Question_Age,0.0
cat__Demographics Response_35-49,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_No education,0.0
cat__Gender_M,0.0
num__SurveyYear,0.0
