feature,importance
cat__Question_... for at least one specific reason,0.47422646508016664
cat__Question_... if she neglects the children,0.3210174661120165
cat__Demographics Response_No education,0.056711258566385904
cat__Demographics Response_Higher,0.03712491307447381
cat__Gender_F,0.036082948568448736
cat__Question_... if she refuses to have sex with him,0.031052894271678903
cat__Demographics Response_Employed for kind,0.017432812187503057
cat__Demographics Response_Secondary,0.010573741158379833
cat__Demographics Question_Education,0.00849669346798961
cat__Question_... if she argues with him,0.0036584622678348467
cat__Demographics Question_Marital status,0.00240569942127176
cat__Demographics Question_Residence,0.000591305184013624
cat__Demographics Question_Age,0.0005806704612348962
cat__Gender_M,4.467017860197831e-05
cat__Question_... if she goes out without telling him,0.0
cat__Demographics Response_Unemployed,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Question_... if she burns the food,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Employment,0.0
num__SurveyYear,0.0
