feature,importance
cat__Question_... for at least one specific reason,0.30070246657209054
cat__Gender_F,0.24177788256180477
cat__Question_... if she goes out without telling him,0.2266955787110361
cat__Question_... if she neglects the children,0.20718846975684932
cat__Question_... if she burns the food,0.015875242888918013
cat__Question_... if she argues with him,0.0042290744187619906
cat__Demographics Question_Education,0.0021802146317337606
cat__Gender_M,0.0010816234752880959
cat__Question_... if she refuses to have sex with him,0.0002694469835173174
cat__Demographics Response_Primary,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Higher,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
