feature,importance
cat__Question_... for at least one specific reason,0.429177319421817
cat__Question_... if she neglects the children,0.37993377880432094
cat__Demographics Response_Higher,0.05768440381158049
cat__Question_... if she argues with him,0.046708530439558166
cat__Question_... if she goes out without telling him,0.03804390255142564
"cat__Demographics Response_Widowed, divorced, separated",0.022305415038849627
cat__Gender_M,0.02172165011443104
cat__Demographics Response_No education,0.0022141587577078794
cat__Demographics Question_Age,0.0015063238654521357
cat__Demographics Question_Education,0.0007045171948569682
cat__Demographics Response_Unemployed,0.0
cat__Gender_F,0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Rural,0.0
cat__Question_... if she burns the food,0.0
cat__Question_... if she refuses to have sex with him,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
num__SurveyYear,0.0
