feature,importance
cat__Gender_F,0.4129480938060463
cat__Question_... for at least one specific reason,0.24894640872232868
cat__Demographics Response_Higher,0.13712073395005686
cat__Question_... if she burns the food,0.12730870788937912
cat__Question_... if she neglects the children,0.04860819966243551
cat__Demographics Question_Residence,0.017288902969728057
cat__Demographics Response_Secondary,0.002773241724493166
cat__Demographics Response_15-24,0.0018147679859502725
cat__Demographics Response_35-49,0.0016934401500889108
cat__Demographics Response_Urban,0.001497503139493162
cat__Demographics Response_Rural,0.0
cat__Question_... if she refuses to have sex with him,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Question_... if she argues with him,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Gender_M,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
