feature,importance
cat__Question_... for at least one specific reason,0.735886855014545
cat__Question_... if she neglects the children,0.10625341315247543
cat__Question_... if she goes out without telling him,0.0848280424046197
cat__Question_... if she argues with him,0.02069984110580948
cat__Gender_F,0.013884915417256321
cat__Demographics Response_No education,0.011213778163190495
cat__Demographics Question_Education,0.007611194582775209
cat__Demographics Question_Employment,0.007237257945601146
cat__Gender_M,0.0062054322424829065
cat__Question_... if she refuses to have sex with him,0.004067472885494517
cat__Demographics Question_Residence,0.000956048109183798
cat__Demographics Question_Age,0.0006144771285675975
cat__Demographics Question_Marital status,0.0005412718479984998
cat__Demographics Response_Secondary,0.0
cat__Question_... if she burns the food,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Higher,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
num__SurveyYear,0.0
